ticker,source_file,in_price_data,thesis_score,thesis_confidence,thesis_preview
CEG,Constilation Energy.docx,True,0.7272727272727273,1.0,"Constellation Energy Corporation NASDAQ: CEG | Price: $282 | Mkt Cap: $105B | Rating: LONG | Consensus PT: $398 INVESTMENT THESIS Constellation is not a defensive utility. It is the largest clean-energy and merchant-power platform in the U.S., and one of the clearest public-market beneficiaries of the structural rise in electricity demand driven by AI and data center load growth. Its nuclear fleet — the nation’s larg"
CIEN,CIEN_Thesis.docx,True,0.8947368421052632,1.0,"Ciena Corporation (NYSE: CIEN) Rating: BUY — Price Target: $470–$500 Ciena makes the high-speed fiber optic equipment that connects data centers together. Think of it as the “plumbing” of the internet and AI. As companies like Google, Microsoft, and Amazon build massive AI data centers, they need Ciena’s gear to move data between them at record speeds. The company just posted its best quarter ever and has a $7 billio"
DAL,Delta Airlines.docx,True,0.696969696969697,1.0,"Delta Air Lines, Inc. NYSE: DAL | Price: $67.25 | Mkt Cap: $46.3B | Rating: LONG | Consensus PT: $79 INVESTMENT THESIS Delta is the highest-quality franchise in the U.S. airline sector, uniquely positioned to compound earnings as consumer discretionary spending and corporate travel normalize and expand. Unlike peers, Delta derives ~60% of revenue from diversified, higher-margin streams — premium cabins, loyalty/co-br"
GD,General Dynamics.docx,True,0.8095238095238095,1.0,"General Dynamics Corporation NYSE: GD | Price: $349 | Mkt Cap: $95B | Rating: LONG | Consensus PT: $395 INVESTMENT THESIS General Dynamics is the most diversified U.S. defense prime, and we believe this breadth is structurally underappreciated by a market that tends to reward single-theme defense narratives. GD operates across four segments — Aerospace (Gulfstream), Marine Systems (submarines/shipbuilding), Combat Sy"
LNG,Cheniere Energy Stock Pitch.pdf,True,1.0,0.2777777777777778,"Cheniere Energy long thesis: contracted LNG export cash flows, capacity expansion, and global energy-security demand."
APLD,Applied Digital.docx,False,0.45,1.0,"Applied Digital Corporation NASDAQ: APLD | Price: $25.70 | Mkt Cap: $7.5B | Rating: LONG (Speculative) | Consensus PT: $35 INVESTMENT THESIS Applied Digital is a higher-beta, more direct way to invest in the physical buildout of U.S. AI data center infrastructure than larger, diversified alternatives. The company is an emerging AI infrastructure landlord developing purpose-built, power-backed data center campuses for"
CLMT,CLMT_Thesis.docx,False,0.45,0.9444444444444444,"Calumet, Inc. (NASDAQ: CLMT) Rating: SPECULATIVE BUY — Price Target: $33–$38 Calumet is two businesses in one. The first is a steady, profitable specialty chemicals business (waxes, solvents, lubricants) that’s been around since 1919. The second is Montana Renewables—North America’s largest producer of Sustainable Aviation Fuel (SAF). The government just gave them a $1.44 billion loan to massively expand SAF producti"
EPD,Enterprise Products Stock Pitch.pdf,False,1.0,0.15,Enterprise Products thesis focused on stable midstream distributions and disciplined capital allocation.
ET,Energy Transfer Stock Pitch.pdf,False,0.0,0.15,Energy Transfer midstream thesis with fee-based cash flows and commodity-cycle risk.
PLUG,Plug Power Stock Pitch.pdf,False,-0.6,0.2777777777777778,"Plug Power short thesis: funding needs, hydrogen adoption uncertainty, and margin pressure."
RUN,Sunrun Stock Pitch.pdf,False,-0.5,0.2222222222222222,"Sunrun short thesis: residential solar demand pressure from rates, NEM 3.0 policy, and high financing needs."
